iter	Passed	Remaining
0	208	62217
1	404	60293
2	582	57695
3	759	56222
4	941	55576
5	1125	55156
6	1292	54098
7	1478	53953
8	1664	53833
9	1904	55243
10	2085	54778
11	2278	54695
12	2492	55030
13	2693	55027
14	2892	54963
15	3071	54520
16	3239	53926
17	3403	53326
18	3563	52702
19	3739	52349
20	3916	52033
21	4101	51831
22	4253	51223
23	4429	50934
24	4610	50717
25	4789	50469
26	4958	50131
27	5154	50071
28	5328	49791
29	5500	49505
30	5667	49175
31	5838	48896
32	6024	48742
33	6206	48560
34	6386	48358
35	6557	48086
36	6738	47900
37	6911	47651
38	7083	47404
39	7306	47489
40	7477	47234
41	7655	47028
42	7845	46887
43	8000	46547
44	8171	46304
45	8336	46033
46	8509	45806
47	8679	45569
48	8845	45310
49	9007	45037
50	9178	44811
51	9348	44583
52	9512	44333
53	9679	44093
54	9849	43876
55	10041	43750
56	10210	43529
57	10382	43318
58	10553	43108
59	10715	42862
60	10890	42670
61	11057	42448
62	11215	42192
63	11376	41951
64	11556	41781
65	11724	41568
66	11883	41326
67	12040	41079
68	12218	40904
69	12388	40706
70	12542	40452
71	12698	40210
72	12868	40015
73	13024	39778
74	13182	39548
75	13341	39323
76	13494	39081
77	13658	38874
78	13832	38696
79	13996	38491
80	14233	38482
81	14399	38280
82	14563	38075
83	14720	37853
84	14869	37611
85	15022	37381
86	15175	37154
87	15335	36944
88	15493	36731
89	15673	36572
90	15848	36399
91	16022	36224
92	16211	36083
93	16382	35902
94	16540	35691
95	16690	35466
96	16841	35244
97	16992	35024
98	17151	34822
99	17307	34614
100	17461	34403
101	17612	34189
102	17771	33990
103	17941	33811
104	18114	33640
105	18281	33458
106	18438	33258
107	18587	33044
108	18740	32838
109	18890	32629
110	19048	32433
111	19200	32229
112	19352	32025
113	19501	31818
114	19664	31634
115	19822	31443
116	19986	31260
117	20149	31078
118	20316	30900
119	20467	30700
120	20615	30498
121	20770	30304
122	20926	30114
123	21081	29922
124	21235	29729
125	21386	29533
126	21551	29357
127	21704	29165
128	21866	28985
129	22023	28799
130	22187	28623
131	22347	28442
132	22488	28237
133	22637	28043
134	22800	27867
135	22962	27690
136	23110	27496
137	23250	27294
138	23395	27098
139	23542	26906
140	23695	26720
141	23864	26553
142	24017	26369
143	24189	26205
144	24348	26027
145	24500	25842
146	24649	25655
147	24804	25474
148	24953	25287
149	25098	25098
150	25246	24912
151	25413	24744
152	25569	24567
153	25719	24383
154	25884	24214
155	26051	24047
156	26221	23883
157	26385	23713
158	26537	23533
159	26691	23355
160	26843	23175
161	26995	22995
162	27162	22829
163	27329	22663
164	27489	22491
165	27640	22312
166	27805	22144
167	27965	21973
168	28130	21805
169	28290	21634
170	28441	21456
171	28583	21271
172	28728	21090
173	28876	20910
174	29022	20730
175	29164	20547
176	29312	20369
177	29455	20188
178	29599	20008
179	29748	19832
180	29892	19652
181	30045	19480
182	30206	19312
183	30362	19141
184	30521	18972
185	30672	18799
186	30822	18625
187	30966	18448
188	31111	18271
189	31256	18096
190	31399	17919
191	31545	17744
192	31691	17569
193	31837	17395
194	31981	17220
195	32140	17054
196	32304	16890
197	32477	16730
198	32623	16557
199	32772	16386
200	32918	16213
201	33057	16037
202	33286	15905
203	33424	15729
204	33579	15561
205	33727	15390
206	33873	15218
207	34025	15049
208	34188	14885
209	34344	14718
210	34501	14552
211	34663	14388
212	34808	14217
213	34949	14045
214	35093	13874
215	35237	13703
216	35385	13534
217	35542	13369
218	35703	13205
219	35847	13035
220	35988	12864
221	36131	12694
222	36285	12528
223	36447	12366
224	36601	12200
225	36754	12034
226	36897	11865
227	37043	11697
228	37191	11530
229	37333	11362
230	37474	11193
231	37631	11029
232	37781	10864
233	37926	10697
234	38071	10530
235	38229	10367
236	38384	10203
237	38545	10041
238	38706	9879
239	38849	9712
240	38997	9547
241	39143	9381
242	39287	9215
243	39432	9049
244	39576	8884
245	39724	8719
246	39872	8555
247	40016	8390
248	40168	8227
249	40324	8064
250	40478	7902
251	40642	7741
252	40789	7577
253	40929	7412
254	41077	7248
255	41227	7085
256	41358	6919
257	41502	6756
258	41645	6592
259	41792	6429
260	41931	6265
261	42075	6102
262	42226	5940
263	42391	5780
264	42549	5619
265	42709	5459
266	42858	5297
267	42994	5133
268	43146	4972
269	43298	4810
270	43446	4649
271	43603	4488
272	43773	4329
273	43932	4168
274	44089	4008
275	44247	3847
276	44423	3688
277	44602	3529
278	44795	3371
279	44961	3211
280	45120	3050
281	45272	2889
282	45430	2729
283	45581	2567
284	45748	2407
285	45905	2247
286	46066	2086
287	46224	1926
288	46393	1765
289	46561	1605
290	46742	1445
291	46899	1284
292	47048	1124
293	47205	963
294	47354	802
295	47514	642
296	47686	481
297	47831	321
298	47981	160
299	48137	0
